Funcao Hash,Tamanho Tabela,Quantidade de Dados,Colisoes,Tempo Insercao (ms),Comparacoes Busca,Tempo Busca (ms)
Resto,1000,1000000,999000,3552,5000,0
Multiplicacao,1000,1000000,999000,3540,5000,0
Dobramento,1000,1000000,999000,3698,5000,0
Resto,10000,1000000,990000,34941,50000,0
Multiplicacao,10000,1000000,990000,35023,50000,0
Dobramento,10000,1000000,990000,35375,50000,0
Resto,1000,1000000,999000,3547,5000,0
Multiplicacao,1000,1000000,999000,3545,5000,0
Dobramento,1000,1000000,999000,3742,5000,0
Resto,10000,1000000,990000,34624,50000,0
Multiplicacao,10000,1000000,990000,34631,50000,0
Dobramento,10000,1000000,990000,35007,50000,0
Resto,100000,1000000,900000,318810,400011,2
